個体識別番号,体重測定日,体重,報告
1440523883,2024/10/25,580,
1665751986,2024/10/25,550,
1440523883,2024/11/26,595,
1665751986,2024/11/26,590,
1440523883,2024/12/23,610,
1665751986,2024/12/23,616,
1478606428,2024/12/23,595,
1499314135,2024/12/23,570,
1377537083,2024/12/23,540,
1440523883,2025/1/26,610,
1665751986,2025/1/26,615,
1478606428,2025/1/26,600,
1499314135,2025/1/26,515,
1377537083,2025/1/26,560,
1514416325,2025/1/26,590,
1443014333,2025/1/26,710,
1610710822,2025/1/26,630,
1440523883,2025/2/21,634,
1665751986,2025/2/21,642,
1377537083,2025/2/21,590,
1499314135,2025/2/21,580,
1478606428,2025/2/21,635,
1514416325,2025/2/21,650,
1443014333,2025/2/21,735,
1610710822,2025/2/21,680,
0869817757,2025/2/21,550,
1406161746,2025/2/21,670,
1551105657,2025/2/21,620,
1533414012,2025/2/21,630,
1592909665,2025/2/21,720,
1665783970,2025/2/21,575,
1516292620,2025/2/21,640,
1462718892,2025/2/21,570,
1388649577,2025/2/21,650,
1516257599,2025/2/21,640,
1435314090,2025/2/21,565,
1561910371,2025/2/21,680,
1584012342,2025/2/21,615,
1588212465,2025/2/21,620,
1655395855,2025/2/21,595,
1368438719,2025/2/21,800,
1634824123,2025/2/21,585,
1562908797,2025/2/21,700,
1403204699,2025/2/21,640,
1541907100,2025/2/21,645,
1470118882,2025/2/21,570,
1454517687,2025/2/21,720,
1432425966,2025/2/21,690,
1440523883,2025/3/24,630,
1665751986,2025/3/24,635,
1377537083,2025/3/24,540,
1499314135,2025/3/24,575,
1478606428,2025/3/24,648,
1514416325,2025/3/24,700,
1443014333,2025/3/24,735,
1610710822,2025/3/24,700,
0869817757,2025/3/24,595,
1406161746,2025/3/24,715,
1551105657,2025/3/24,665,
1533414012,2025/3/24,665,
1592909665,2025/3/24,740,
1665783970,2025/3/24,590,
1516292620,2025/3/24,615,
1462718892,2025/3/24,550,
1388649577,2025/3/24,645,
1516257599,2025/3/24,665,
1435314090,2025/3/24,575,
1561910371,2025/3/24,720,
1584012342,2025/3/24,635,
1588212465,2025/3/24,615,
1655395855,2025/3/24,590,
1368438719,2025/3/24,830,
